,result,url
206,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300590.pdf
211,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300476.pdf
216,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300426.pdf
218,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300399.pdf
220,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300391.pdf
225,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200804.pdf
230,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200596.pdf
233,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200488.pdf
244,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072101273.pdf
245,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072101136.pdf
252,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100609.pdf
254,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100601.pdf
258,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100333.pdf
259,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100213.pdf
266,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000494.pdf
268,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0719/2020071900019.pdf
272,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071700849.pdf
276,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071700637.pdf
277,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0717/2020071700621.pdf
