file_info,news_id,short_text,total_count,dod_web_path,stock_name,title,file_type,date_time,long_text,stock_code,file_link,auditor
2MB,9233925,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,KDL MEDICAL,Annual Report 2019,PDF,14/04/2020 16:31,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",01501,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0414/2020041400708.pdf,"('KPMG',)"
2MB,9233925,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,KDL MEDICAL,Annual Report 2019,PDF,14/04/2020 16:31,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",01501,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0414/2020041400708.pdf,NaN
9MB,9233897,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CHINA EB INT'L,Annual Report 2019,PDF,14/04/2020 16:23,Financial Statements/ESG Information - [Annual Report],00257,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0414/2020041400632.pdf,"('Ernst & Young',)"
9MB,9233879,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,LIFETECH SCI,ANNUAL REPORT 2019,PDF,14/04/2020 16:15,Financial Statements/ESG Information - [Annual Report],01302,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0414/2020041400624.pdf,"('Deloitte Touche Tohmatsu',)"
9MB,9233879,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,LIFETECH SCI,ANNUAL REPORT 2019,PDF,14/04/2020 16:15,Financial Statements/ESG Information - [Annual Report],01302,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0414/2020041400624.pdf,NaN
2MB,9233686,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,ZENGAME,2019 ANNUAL REPORT,PDF,14/04/2020 12:18,Financial Statements/ESG Information - [Annual Report],02660,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0414/2020041400483.pdf,"('Ernst & Young',)"
3MB,9233664,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,HUABAO INTL,2019 ANNUAL REPORT,PDF,14/04/2020 12:09,Financial Statements/ESG Information - [Annual Report],00336,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0414/2020041400461.pdf,"('PricewaterhouseCoopers',)"
8MB,9233051,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,SH IND URBAN,ANNUAL REPORT 2019,PDF,14/04/2020 07:35,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00563,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0414/2020041400189.pdf,"('Deloitte Touche Tohmatsu',)"
3MB,9232613,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,TRIGIANT,Annual Report 2019,PDF,09/04/2020 21:53,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",01300,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040901355.pdf,"('Deloitte Touche Tohmatsu',)"
8MB,9232493,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CHONG HING BANK,2019 Annual Report,PDF,09/04/2020 20:26,Financial Statements/ESG Information - [Annual Report],01111,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040901235.pdf,"('PricewaterhouseCoopers',)"
8MB,9232285,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,MEIDONG AUTO,ANNUAL REPORT 2019,PDF,09/04/2020 19:03,Financial Statements/ESG Information - [Annual Report],01268,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040901057.pdf,"('KPMG',)"
2MB,9232098,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,BINHAI INV,Annual Report 2019,PDF,09/04/2020 18:14,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",02886,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900912.pdf,"('PricewaterhouseCoopers',)"
7MB,9232071,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,SYNERGIS HOLD,ANNUAL REPORT 2019,PDF,09/04/2020 18:10,Financial Statements/ESG Information - [Annual Report],02340,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900887.pdf,"('BDO Limited',)"
4MB,9231903,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,PARKSON GROUP,2019 Annual Report,PDF,09/04/2020 17:39,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",03368,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900781.pdf,"('Ernst & Young',)"
3MB,9231810,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,SUN.KING ELEC,Annual Report 2019,PDF,09/04/2020 17:21,Financial Statements/ESG Information - [Annual Report],00580,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900688.pdf,"('Ernst & Young',)"
5MB,9231757,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CHINA VANKE,2019 ANNUAL REPORT,PDF,09/04/2020 17:14,Financial Statements/ESG Information - [Annual Report],02202,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900635.pdf,"('The engagement partner on the audit resulting in this',)"
3MB,9231745,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CHANGHONG JH,ANNUAL REPORT 2019,PDF,09/04/2020 17:12,Financial Statements/ESG Information - [Annual Report],03991,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0409/2020040900623.pdf,"('Deloitte Touche Tohmatsu',)"
