result,url
"[(21,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001268.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001251.pdf
"[(40,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001158.pdf
"[(55,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001154.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001097.pdf
"[(23,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001035.pdf
"[(28,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001029.pdf
"[(29,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001006.pdf
"[(23,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000998.pdf
"[(37,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000993.pdf
"[(21,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000955.pdf
"[(27,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000953.pdf
"[(22,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000937.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000877.pdf
"[(22,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000863.pdf
"[(36,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000825.pdf
"[(45,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000823.pdf
"[(25,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000813.pdf
"[(53,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000811.pdf
"[(45,), (168,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000799.pdf
"[(27,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000783.pdf
"[(39,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000773.pdf
"[(31,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000769.pdf
"[(47,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000724.pdf
"[(20,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000722.pdf
"[(17,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000694.pdf
"[(39,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000630.pdf
"[(26,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000624.pdf
"[(24,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000620.pdf
"[(27,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000614.pdf
"[(52,)]",https://www1.hkexnews.hk/listedco/listconews/gem/2020/0730/2020073000512.pdf
"[(27,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000500.pdf
"[(33,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000108.pdf
"[(39,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000047.pdf
"[(25,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000037.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000009.pdf
"[(35,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000007.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072901162.pdf
"[(40,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072901150.pdf
"[(39,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072901106.pdf
"[(40,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900936.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900878.pdf
"[(23,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900836.pdf
"[(37,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900821.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900762.pdf
"[(35,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900680.pdf
"[(29,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900672.pdf
"[(52,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900650.pdf
"[(47,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900646.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900636.pdf
"[(26,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900627.pdf
"[(71,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900587.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900535.pdf
"[(46,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900533.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900507.pdf
"[(40,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900505.pdf
"[(119,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900499.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900497.pdf
"[(37,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900475.pdf
"[(19,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900418.pdf
"[(23,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900408.pdf
"[(24,)]",https://www1.hkexnews.hk/listedco/listconews/gem/2020/0729/2020072900390.pdf
"[(42,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900388.pdf
"[(38,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900382.pdf
"[(36,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900350.pdf
"[(58,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900348.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900342.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900320.pdf
"[(43,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900292.pdf
"[(32,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900155.pdf
"[(37,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072801178.pdf
"[(30,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800870.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800836.pdf
"[(93,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800808.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800527.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800513.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800475.pdf
"[(37,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800473.pdf
"[(104,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800460.pdf
"[(52,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800454.pdf
"[(16,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800446.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800342.pdf
"[(36,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800292.pdf
"[(43,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800263.pdf
"[(45,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800129.pdf
