,report_page_range,f.audit_fee_page,f.matched_pattern,url
161,"[(37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700682.pdf
164,"[(20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700598.pdf
167,"[(52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700570.pdf
168,"[(39,), (41,), (43,), (45,), (47,), (49,), (51,), (53,), (78,)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700559.pdf
169,"[(30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700551.pdf
170,"[(46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700481.pdf
175,"[(19, 20, 21, 22, 23, 24, 25, 26, 27, 28)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700403.pdf
177,"[(12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700163.pdf
181,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400950.pdf
182,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400775.pdf
187,"[(12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400597.pdf
192,"[(34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400490.pdf
193,"[(12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400454.pdf
197,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072301061.pdf
211,"[(41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300476.pdf
216,"[(20, 21, 22, 23, 24, 25)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300426.pdf
218,"[(58, 59, 60, 61, 62, 63, 64, 65)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300399.pdf
219,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300395.pdf
225,"[(20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200804.pdf
230,"[(54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200596.pdf
233,"[(12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0722/2020072200488.pdf
244,"[(14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072101273.pdf
245,"[(17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072101136.pdf
252,"[(38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100609.pdf
258,"[(10, 11, 12, 13, 14, 15)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100333.pdf
259,"[(25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0721/2020072100213.pdf
266,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000494.pdf
268,"[(27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0719/2020071900019.pdf
293,"[(38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0716/2020071600949.pdf
294,"[(48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0716/2020071600886.pdf
303,"[(60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0716/2020071600552.pdf
309,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0715/2020071501240.pdf
310,[],[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0715/2020071500889.pdf
311,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0715/2020071500720.pdf
313,"[(14, 15, 16, 17, 18, 19, 20, 21, 22, 23)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0715/2020071500451.pdf
314,"[(54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0715/2020071500419.pdf
325,"[(14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0714/2020071400717.pdf
330,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0714/2020071400570.pdf
332,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0714/2020071400550.pdf
333,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0713/2020071300894.pdf
342,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0710/2020071000013.pdf
350,"[(26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0707/2020070701577.pdf
354,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0707/2020070700792.pdf
